Nombre,Definicion,Tipo,Aplica_Bono,Calibracion,Area,Frecuencia,Formula,Tags
Continuidad,Porcentaje de alumnos que continúan inscritos al siguiente inmediato,Operativo,No,Sí,Académica,Semestral,(Alumnos graduados inscritos en siguiente nivel académico /  Total de alumnos graduados inscritoes en EOF de periodo anterior) * 100,"retención, deserción, continuidad, matrícula"
NPS,Índice de satisfacción estudiantil derivado de la Opina. Mide la probabilidad de recomendación en una escala del 0 al 10. ,Operativo,Sí,Sí,Académica,Tetramestral,((Alumnos promotores - Alumnos detractores)/Total de alumnos) * 100,"NPS, satisfacción,  encuesta"
OPP,Proporción de horas-clase cubiertas por docentes con perfil deseable sobre el total de horas impartidas.,Operativo,No,Sí,Recursos Humanos,Semestral,(Horas con perfil deseable / Total horas impartidas) × 100,"docentes, perfil, habilitación, PRODEP"
Eficiencia Terminal,Tasa de alumnos que se graduan en tiempo considerando los NI's de una generación específica.,Consejo,No,No,Académica,Anual,(Alumnos graduados al 150% de duración de su programa / Total de alumnos NI en ADSD) *100,"eficiencia, terminal, cohorte, egreso"
Permanencia,Porcentaje de alumnos de Nuevo Ingreso que deciden continuar sus estudios (reingresar). Se mide el reingreso a los 6 meses y al año,Operativo,Sí,Sí,Académica,Semestral,𝑻𝒐𝒕𝒂𝒍 𝒅𝒆 𝒂𝒍𝒖𝒎𝒏𝒐𝒔 NI en AD  inscritos Em / Total de alumnos NI en AD," matrícula, NI's, RI's"
